epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,62140,1.71983,2.15363,0.80735,0.95224,0.41924,0.0305,0.12428,0.07294,0.40873,0.02998,0.11972,0.06263,1.69862,2.02966,0.87002,0.93492,0.0012278,0.0012278,0.0012278
80,62904.5,1.73517,2.19273,0.82239,0.94347,0.36809,0.02963,0.11757,0.06742,0.27747,0.02669,0.10523,0.04218,1.86741,2.07675,0.96085,0.95652,0.0012179,0.0012179,0.0012179
81,63658.7,1.71806,2.18863,0.82561,0.94974,0.37733,0.03015,0.12201,0.07001,0.40931,0.02911,0.11571,0.06342,1.67765,1.95755,0.87339,0.93476,0.001208,0.001208,0.001208
82,64474.7,1.7829,2.25175,0.82992,0.9544,0.53443,0.04003,0.132,0.07665,0.52423,0.03829,0.12553,0.05936,1.67926,1.88885,0.81981,0.9294,0.0011981,0.0011981,0.0011981
83,65336.5,1.71539,2.15157,0.81355,0.95131,0.47378,0.03089,0.12512,0.07065,0.46462,0.03015,0.12195,0.06832,1.61755,1.88481,0.81154,0.92173,0.0011882,0.0011882,0.0011882
84,66192.7,1.74949,2.20959,0.83436,0.9582,0.51973,0.03032,0.12484,0.07113,0.51082,0.0298,0.12271,0.05947,1.73422,1.96774,0.8546,0.93649,0.0011783,0.0011783,0.0011783
85,67077.7,1.70419,2.16165,0.8152,0.94188,0.65574,0.06585,0.16312,0.09036,0.55873,0.06165,0.1528,0.06099,1.81642,2.0434,0.85294,0.94958,0.0011684,0.0011684,0.0011684
86,67923.2,1.70409,2.13844,0.79884,0.94749,0.36345,0.0376,0.12264,0.0696,0.36177,0.0357,0.11622,0.05256,1.77964,2.04263,0.87435,0.94505,0.0011585,0.0011585,0.0011585
87,68604.5,1.68905,2.14274,0.79563,0.93832,0.51005,0.0298,0.12297,0.06995,0.50708,0.02963,0.12158,0.0684,1.62756,1.89009,0.83281,0.92195,0.0011486,0.0011486,0.0011486
88,69481.5,1.70692,2.15216,0.80472,0.94484,0.56986,0.02911,0.12429,0.07067,0.58133,0.02911,0.12227,0.06794,1.60878,1.86309,0.80339,0.92067,0.0011387,0.0011387,0.0011387
89,70315.3,1.65284,2.09905,0.78608,0.94398,0.52192,0.03674,0.12237,0.06659,0.46782,0.03351,0.11253,0.05122,1.79316,2.0106,0.86352,0.95154,0.0011288,0.0011288,0.0011288
90,71179.4,1.77326,2.20325,0.82548,0.94348,0.41465,0.03084,0.12245,0.07054,0.40093,0.02963,0.11866,0.06079,1.72052,1.99775,0.84829,0.93959,0.0011189,0.0011189,0.0011189
91,72001.5,1.6938,2.14714,0.81525,0.93939,0.52789,0.03847,0.12639,0.07728,0.4979,0.03726,0.12425,0.05757,1.73835,1.92274,0.82803,0.93703,0.001109,0.001109,0.001109
92,72846.1,1.72329,2.13801,0.81454,0.94737,0.44423,0.03726,0.12107,0.05205,0.49166,0.03778,0.12608,0.06339,1.79125,1.97455,0.88767,0.95563,0.0010991,0.0010991,0.0010991
