epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3717.68,1.72118,2.21068,0.81744,0.9487,0.61876,0.6174,0.58679,0.22154,0.54907,0.54569,0.4814,0.13991,2.27839,2.42189,1.33367,1.05094,0.0013763,0.0013763,0.0013763
65,3774.1,1.71517,2.21366,0.80772,0.94216,0.45931,0.5022,0.3571,0.14595,0.42622,0.45519,0.30703,0.09704,2.46483,2.60387,1.76949,1.10481,0.0013664,0.0013664,0.0013664
66,3830.24,1.7297,2.20825,0.80704,0.95294,0.7927,0.74387,0.76366,0.3831,0.76772,0.71872,0.72625,0.28716,1.83399,2.07377,1.05592,0.97315,0.0013565,0.0013565,0.0013565
67,3893.72,1.67634,2.15226,0.80113,0.93801,0.75177,0.72265,0.73109,0.36114,0.73618,0.69909,0.69934,0.28558,1.84323,2.10924,1.10103,0.97156,0.0013466,0.0013466,0.0013466
68,3952.76,1.71681,2.2024,0.80608,0.94291,0.79956,0.71584,0.74215,0.35452,0.78446,0.70232,0.72333,0.30802,1.83321,2.11454,1.03625,0.97706,0.0013367,0.0013367,0.0013367
69,4008.82,1.7097,2.18529,0.79935,0.94727,0.73485,0.7126,0.7094,0.29517,0.69275,0.66324,0.64063,0.21511,2.0617,2.32812,1.23518,1.02045,0.0013268,0.0013268,0.0013268
70,4066.98,1.71244,2.21559,0.8007,0.94253,0.78825,0.69899,0.72748,0.3597,0.76946,0.67852,0.70483,0.29003,1.75232,2.08498,1.07831,0.96414,0.0013169,0.0013169,0.0013169
71,4121.26,1.71117,2.19988,0.80405,0.93887,0.65302,0.67499,0.6655,0.32869,0.63832,0.66383,0.64498,0.28045,1.75807,2.06165,1.28302,0.9596,0.001307,0.001307,0.001307
72,4177.8,1.68992,2.16565,0.7952,0.9388,0.77584,0.73634,0.76255,0.3715,0.75722,0.71854,0.73634,0.31036,1.7992,2.0077,1.0401,0.96242,0.0012971,0.0012971,0.0012971
73,4246.63,1.6727,2.14656,0.78077,0.94216,0.49497,0.53277,0.39218,0.16539,0.47437,0.49104,0.35472,0.12792,2.32327,2.52213,1.40724,1.05634,0.0012872,0.0012872,0.0012872
74,4302.26,1.74346,2.22735,0.82024,0.94625,0.77889,0.70438,0.7339,0.33583,0.76295,0.67617,0.6982,0.29219,1.85299,2.12053,1.09022,0.97441,0.0012773,0.0012773,0.0012773
75,4360.66,1.72682,2.17949,0.80642,0.94818,0.79827,0.66516,0.71292,0.33589,0.7833,0.64884,0.68627,0.27507,1.84837,2.12486,1.08609,0.97727,0.0012674,0.0012674,0.0012674
76,4418.3,1.76786,2.27031,0.84354,0.95273,0.67226,0.70825,0.65417,0.2802,0.62973,0.65619,0.58779,0.19837,2.08851,2.29881,1.25948,1.015,0.0012575,0.0012575,0.0012575
77,4478.56,1.69752,2.19936,0.80428,0.94107,0.32822,0.36321,0.19034,0.06969,0.2917,0.31634,0.15648,0.04755,2.98495,3.05698,2.25498,1.20991,0.0012476,0.0012476,0.0012476
