epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,2977.92,1.73678,2.24276,0.83183,0.96648,0.71575,0.70467,0.70779,0.33833,0.7001,0.66383,0.66558,0.2553,1.94776,2.16603,1.08324,0.99837,0.0009902,0.0009902,0.0009902
53,3034.99,1.75186,2.25714,0.8339,0.95128,0.50861,0.48457,0.41424,0.19183,0.49546,0.44431,0.37556,0.13278,2.26741,2.49403,1.46884,1.05429,0.0009704,0.0009704,0.0009704
54,3090.78,1.68876,2.16806,0.79341,0.94175,0.79354,0.72511,0.75537,0.3536,0.78646,0.70085,0.73164,0.30131,1.87675,2.10484,1.03216,0.98584,0.0009506,0.0009506,0.0009506
55,3158.43,1.6955,2.18634,0.80163,0.94504,0.66614,0.70526,0.67569,0.3124,0.65498,0.66089,0.63642,0.24639,1.90808,2.19362,1.17046,0.99027,0.0009308,0.0009308,0.0009308
56,3213.76,1.69085,2.17636,0.78894,0.94656,0.58936,0.67764,0.58631,0.27297,0.56999,0.63767,0.54858,0.19595,2.06592,2.25642,1.27201,1.01708,0.000911,0.000911,0.000911
57,3272.01,1.70671,2.17921,0.79171,0.93747,0.68966,0.73053,0.69737,0.33569,0.67712,0.70879,0.67423,0.2799,1.86142,2.11671,1.16677,0.97647,0.0008912,0.0008912,0.0008912
58,3327.39,1.70864,2.20407,0.80721,0.95859,0.79631,0.73296,0.76172,0.36254,0.77085,0.70732,0.71728,0.27787,1.82593,2.08795,1.04881,0.97174,0.0008714,0.0008714,0.0008714
59,3385.44,1.69668,2.20401,0.79775,0.94494,0.60279,0.65207,0.60056,0.29311,0.58506,0.62565,0.56535,0.20643,1.97982,2.21524,1.43951,0.99872,0.0008516,0.0008516,0.0008516
60,3441.46,1.72345,2.2256,0.79973,0.95153,0.78307,0.69351,0.73443,0.33397,0.73766,0.64781,0.67017,0.24145,1.90772,2.15507,1.09198,0.98549,0.0008318,0.0008318,0.0008318
61,3498.07,1.72141,2.21287,0.79623,0.94108,0.68449,0.67896,0.67115,0.30622,0.64293,0.62798,0.60283,0.20637,2.02863,2.12755,1.17842,1.0068,0.000812,0.000812,0.000812
62,3554.58,1.69573,2.20138,0.79157,0.94062,0.60858,0.68167,0.61266,0.29026,0.59643,0.65971,0.59045,0.23509,1.98899,2.2419,1.29999,1.00242,0.0007922,0.0007922,0.0007922
63,3612.25,1.67387,2.1572,0.77544,0.94231,0.80895,0.73964,0.76534,0.37183,0.78536,0.72041,0.73394,0.29602,1.80723,2.06549,1.01681,0.97213,0.0007724,0.0007724,0.0007724
64,3672.07,1.695,2.18412,0.78861,0.9434,0.77341,0.7322,0.74025,0.32948,0.72781,0.67646,0.679,0.23458,1.94712,2.22917,1.05522,0.99648,0.0007526,0.0007526,0.0007526
65,3727.9,1.67583,2.17804,0.77572,0.93671,0.51985,0.65971,0.49044,0.22017,0.48808,0.61105,0.44594,0.15377,2.11826,2.39907,1.33263,1.02109,0.0007328,0.0007328,0.0007328
66,3783.6,1.69801,2.17293,0.77813,0.94819,0.77006,0.67382,0.70239,0.23621,0.63816,0.55392,0.52715,0.13595,2.45389,2.50883,1.21231,1.09619,0.000713,0.000713,0.000713
67,3840.7,1.65784,2.12536,0.78054,0.93325,0.78795,0.75233,0.76521,0.32032,0.72894,0.69527,0.68289,0.22661,1.95458,2.22761,1.05762,0.99637,0.0006932,0.0006932,0.0006932
68,3898.9,1.67064,2.1422,0.77685,0.93705,0.81086,0.73406,0.75978,0.3497,0.78684,0.71231,0.72658,0.29382,1.81324,2.11866,1.03169,0.97378,0.0006734,0.0006734,0.0006734
69,3955.35,1.67793,2.15528,0.7707,0.94376,0.30618,0.45842,0.22002,0.09741,0.28518,0.42698,0.19525,0.06916,2.46334,2.68948,2.30351,1.09711,0.0006536,0.0006536,0.0006536
70,4011.22,1.67776,2.17874,0.77478,0.93778,0.79419,0.73582,0.75313,0.35563,0.76197,0.70408,0.71076,0.2709,1.80004,2.11932,1.06995,0.97085,0.0006338,0.0006338,0.0006338
