epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3169.94,1.7004,2.06264,0.82985,0.91379,0.80263,0.75376,0.81701,0.39331,0.78245,0.71431,0.77307,0.28909,1.76307,1.9358,0.89082,0.93375,0.0013961,0.0013961,0.0013961
63,3220.51,1.72449,2.00764,0.81367,0.92727,0.86303,0.87299,0.8966,0.43713,0.85484,0.8569,0.88647,0.34371,1.68031,1.85034,0.81114,0.92256,0.0013862,0.0013862,0.0013862
64,3272.62,1.75107,2.06806,0.84587,0.93515,0.85882,0.8479,0.89698,0.39503,0.82194,0.78976,0.82909,0.28717,1.80007,1.96694,0.89442,0.93851,0.0013763,0.0013763,0.0013763
65,3324.12,1.75849,2.1044,0.84575,0.92805,0.8486,0.86641,0.88601,0.41565,0.79722,0.7991,0.81116,0.277,1.77989,1.96651,0.89954,0.93615,0.0013664,0.0013664,0.0013664
66,3372.59,1.72685,2.04808,0.82339,0.92721,0.86204,0.85915,0.89989,0.43938,0.84924,0.84703,0.88073,0.36723,1.73721,1.85246,0.84601,0.92623,0.0013565,0.0013565,0.0013565
67,3427.23,1.7517,2.11147,0.83515,0.93322,0.85234,0.85101,0.88914,0.41304,0.78718,0.78276,0.78657,0.2608,1.8343,1.94974,0.88799,0.94196,0.0013466,0.0013466,0.0013466
68,3477.9,1.74725,2.12914,0.84852,0.92871,0.86601,0.88801,0.91572,0.46381,0.82729,0.84651,0.85913,0.31804,1.66565,1.82014,0.80534,0.91785,0.0013367,0.0013367,0.0013367
69,3528.1,1.68345,2.02261,0.80917,0.91943,0.84234,0.8635,0.88731,0.4507,0.83952,0.85984,0.88083,0.35191,1.70549,1.92051,0.81425,0.9227,0.0013268,0.0013268,0.0013268
70,3578.77,1.73113,2.04772,0.80826,0.9237,0.84819,0.88008,0.90183,0.44271,0.81796,0.84288,0.85256,0.30635,1.76753,1.91306,0.82172,0.93137,0.0013169,0.0013169,0.0013169
71,3628.19,1.73466,2.07017,0.83945,0.92249,0.84921,0.86734,0.90283,0.45363,0.80487,0.81433,0.83652,0.307,1.63817,1.78628,0.828,0.9107,0.001307,0.001307,0.001307
72,3678.14,1.67446,2.01488,0.81438,0.91749,0.86587,0.89237,0.91716,0.46536,0.81932,0.84098,0.85605,0.32852,1.69791,1.83947,0.80008,0.92011,0.0012971,0.0012971,0.0012971
73,3725.13,1.6679,1.97256,0.79112,0.9143,0.86946,0.90708,0.92675,0.47972,0.84058,0.87472,0.88681,0.3482,1.6559,1.79279,0.77366,0.91385,0.0012872,0.0012872,0.0012872
74,3779.84,1.68916,2.01773,0.79722,0.91862,0.80074,0.73847,0.80829,0.34955,0.76346,0.68853,0.7328,0.24277,1.84103,1.99458,0.99961,0.94486,0.0012773,0.0012773,0.0012773
75,3828.89,1.68342,1.99374,0.79994,0.9177,0.85908,0.8587,0.89106,0.42633,0.83157,0.83059,0.85264,0.32192,1.67095,1.85242,0.81029,0.91967,0.0012674,0.0012674,0.0012674
76,3878.43,1.69977,2.03159,0.81042,0.92028,0.86789,0.8617,0.90397,0.41825,0.79474,0.76865,0.7865,0.24877,1.77217,1.91035,0.83626,0.92969,0.0012575,0.0012575,0.0012575
77,3929.92,1.6998,2.05369,0.81558,0.92659,0.86559,0.84824,0.89735,0.42096,0.77872,0.76311,0.78833,0.26811,1.70742,1.86625,0.84259,0.92195,0.0012476,0.0012476,0.0012476
78,3978.31,1.65119,1.98155,0.80266,0.90788,0.86591,0.88285,0.90838,0.42389,0.8204,0.83314,0.84461,0.31282,1.68055,1.86029,0.80719,0.92043,0.0012377,0.0012377,0.0012377
79,4027.56,1.6874,2.00989,0.78853,0.92178,0.86782,0.86624,0.90513,0.42421,0.81455,0.79651,0.8143,0.26562,1.745,1.87978,0.82053,0.92772,0.0012278,0.0012278,0.0012278
80,4076.1,1.67567,2.00891,0.80798,0.91672,0.86256,0.87749,0.90672,0.44642,0.82765,0.82263,0.85714,0.33139,1.67319,1.86292,0.79882,0.91965,0.0012179,0.0012179,0.0012179
81,4126.7,1.68885,2.01051,0.79463,0.91563,0.85322,0.84617,0.88119,0.4368,0.82427,0.80654,0.83987,0.30844,1.66645,1.86085,0.8071,0.91844,0.001208,0.001208,0.001208
82,4174.36,1.71127,2.03729,0.8126,0.92214,0.8281,0.85362,0.86592,0.42285,0.79423,0.80948,0.82165,0.2882,1.70691,1.82963,0.81454,0.92367,0.0011981,0.0011981,0.0011981
83,4223.85,1.67151,2.00663,0.79537,0.91176,0.85854,0.8738,0.88563,0.42994,0.84338,0.85378,0.86788,0.35151,1.73818,1.87289,0.82411,0.92809,0.0011882,0.0011882,0.0011882
84,4274.38,1.66437,1.984,0.7952,0.92466,0.84889,0.87196,0.89769,0.44205,0.80474,0.81987,0.83173,0.30635,1.69153,1.8604,0.81941,0.9245,0.0011783,0.0011783,0.0011783
